ID,Severity,Event Type,Event Description,Generation Time,Status,Event Code,Suggestion
"1693","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:23:57","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1692","Normal","System","ACPI is in the soft-off state.","2026-04-08 08:23:55","Asserted","0x2C00000B",""
"1691","Normal","System","The host was restarted by command.","2026-04-08 08:23:51","Asserted","0x2C000011",""
"1690","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:17:29","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1689","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:17:08","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1688","Normal","System","The host was restarted by command.","2026-04-08 08:17:07","Asserted","0x2C000011",""
"1687","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:16:24","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1686","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:15:30","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1685","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:13:57","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1684","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:13:37","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1683","Normal","System","The host was restarted due to unrecognized reason.","2026-04-08 08:13:31","Asserted","0x2C00000F",""
"1682","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:04:39","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1681","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 08:04:19","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1680","Normal","System","The host was restarted by command.","2026-04-08 08:04:14","Asserted","0x2C000011",""
"1679","Normal","BMC","The openUBMC is reset, with the cause code of 0x2.","2026-04-08 07:07:47","Asserted","0x1A00006F",""
"1678","Normal","BMC","openUBMC is reset and started.","2026-04-08 07:07:14","Asserted","0x1A000021",""
"1677","Critical","PSU","The AC/DC input of PSU 2 is lost or out-of-range (SN:1P108734CC0001534    , BN:CRPS2700D2    ).","2026-04-08 06:11:19","Deasserted","0x0300000E","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1676","Critical","PSU","The AC/DC input of PSU 2 is lost or out-of-range (SN:1P108734CC0001534    , BN:CRPS2700D2    ).","2026-04-08 06:10:50","Asserted","0x0300000D","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1675","Normal","BMC","The openUBMC is reset, with the cause code of 0x2.","2026-04-08 05:54:29","Asserted","0x1A00006F",""
"1674","Normal","BMC","openUBMC is reset and started.","2026-04-08 05:54:21","Asserted","0x1A000021",""
"1673","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:24:21","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1672","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:23:27","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1671","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:21:13","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1670","Normal","System","The host was restarted by command.","2026-04-08 05:20:32","Asserted","0x2C000011",""
"1669","Normal","System","ACPI is in the working state.","2026-04-08 05:20:29","Asserted","0x2C000009",""
"1668","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:20:22","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1667","Normal","System","ACPI is in the soft-off state.","2026-04-08 05:20:15","Asserted","0x2C00000B",""
"1666","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:18:54","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1665","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:18:04","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1664","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:15:49","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1663","Normal","System","The host was restarted by command.","2026-04-08 05:15:07","Asserted","0x2C000011",""
"1662","Normal","System","ACPI is in the working state.","2026-04-08 05:15:04","Asserted","0x2C000009",""
"1661","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:14:57","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1660","Normal","System","ACPI is in the soft-off state.","2026-04-08 05:14:52","Asserted","0x2C00000B",""
"1659","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:13:30","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1658","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:12:40","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1657","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:10:24","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1656","Normal","System","The host was restarted by command.","2026-04-08 05:09:45","Asserted","0x2C000011",""
"1655","Normal","System","ACPI is in the working state.","2026-04-08 05:09:43","Asserted","0x2C000009",""
"1654","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:09:37","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1653","Normal","System","ACPI is in the soft-off state.","2026-04-08 05:09:29","Asserted","0x2C00000B",""
"1652","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:08:10","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1651","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:07:20","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1650","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:05:07","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1649","Normal","System","The host was restarted by command.","2026-04-08 05:04:24","Asserted","0x2C000011",""
"1648","Normal","System","ACPI is in the working state.","2026-04-08 05:04:22","Asserted","0x2C000009",""
"1647","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:04:16","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1646","Normal","System","ACPI is in the soft-off state.","2026-04-08 05:04:09","Asserted","0x2C00000B",""
"1645","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:02:49","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1644","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 05:01:58","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1643","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:59:40","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1642","Normal","System","The host was restarted by command.","2026-04-08 04:58:58","Asserted","0x2C000011",""
"1641","Normal","System","ACPI is in the working state.","2026-04-08 04:58:56","Asserted","0x2C000009",""
"1640","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:58:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1639","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:58:41","Asserted","0x2C00000B",""
"1638","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:57:22","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1637","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:56:28","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1636","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:54:14","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1635","Normal","System","The host was restarted by command.","2026-04-08 04:53:34","Asserted","0x2C000011",""
"1634","Normal","System","ACPI is in the working state.","2026-04-08 04:53:31","Asserted","0x2C000009",""
"1633","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:53:24","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1632","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:53:18","Asserted","0x2C00000B",""
"1631","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:51:57","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1630","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:51:06","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1629","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:48:52","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1628","Normal","System","The host was restarted by command.","2026-04-08 04:48:09","Asserted","0x2C000011",""
"1627","Normal","System","ACPI is in the working state.","2026-04-08 04:48:07","Asserted","0x2C000009",""
"1626","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:48:01","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1625","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:47:54","Asserted","0x2C00000B",""
"1624","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:46:34","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1623","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:45:40","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1622","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:43:29","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1621","Normal","System","The host was restarted by command.","2026-04-08 04:42:48","Asserted","0x2C000011",""
"1620","Normal","System","ACPI is in the working state.","2026-04-08 04:42:45","Asserted","0x2C000009",""
"1619","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:42:39","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1618","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:42:32","Asserted","0x2C00000B",""
"1617","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:41:15","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1616","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:40:24","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1615","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:38:10","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1614","Normal","System","The host was restarted by command.","2026-04-08 04:37:30","Asserted","0x2C000011",""
"1613","Normal","System","ACPI is in the working state.","2026-04-08 04:37:27","Asserted","0x2C000009",""
"1612","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:37:20","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1611","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:37:13","Asserted","0x2C00000B",""
"1610","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:35:59","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1609","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:35:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1608","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:32:51","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1607","Normal","System","The host was restarted by command.","2026-04-08 04:32:11","Asserted","0x2C000011",""
"1606","Normal","System","ACPI is in the working state.","2026-04-08 04:32:10","Asserted","0x2C000009",""
"1605","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:32:04","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1604","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:31:55","Asserted","0x2C00000B",""
"1603","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:30:37","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1602","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:29:42","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1601","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:27:30","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1600","Normal","System","The host was restarted by command.","2026-04-08 04:26:49","Asserted","0x2C000011",""
"1599","Normal","System","ACPI is in the working state.","2026-04-08 04:26:45","Asserted","0x2C000009",""
"1598","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:26:39","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1597","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:26:33","Asserted","0x2C00000B",""
"1596","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:25:15","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1595","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:24:25","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1594","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:22:09","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1593","Normal","System","The host was restarted by command.","2026-04-08 04:21:30","Asserted","0x2C000011",""
"1592","Normal","System","ACPI is in the working state.","2026-04-08 04:21:27","Asserted","0x2C000009",""
"1591","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:21:22","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1590","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:21:13","Asserted","0x2C00000B",""
"1589","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:19:54","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1588","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:19:01","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1587","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:16:46","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1586","Normal","System","The host was restarted by command.","2026-04-08 04:16:07","Asserted","0x2C000011",""
"1585","Normal","System","ACPI is in the working state.","2026-04-08 04:16:02","Asserted","0x2C000009",""
"1584","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:15:59","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1583","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:15:50","Asserted","0x2C00000B",""
"1582","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:14:31","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1581","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:13:41","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1580","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:11:27","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1579","Normal","System","The host was restarted by command.","2026-04-08 04:10:46","Asserted","0x2C000011",""
"1578","Normal","System","ACPI is in the working state.","2026-04-08 04:10:43","Asserted","0x2C000009",""
"1577","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:10:37","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1576","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:10:31","Asserted","0x2C00000B",""
"1575","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:09:16","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1574","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:08:22","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1573","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:06:11","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1572","Normal","System","The host was restarted by command.","2026-04-08 04:05:29","Asserted","0x2C000011",""
"1571","Normal","System","ACPI is in the working state.","2026-04-08 04:05:25","Asserted","0x2C000009",""
"1570","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:05:17","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1569","Normal","System","ACPI is in the soft-off state.","2026-04-08 04:05:12","Asserted","0x2C00000B",""
"1568","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:03:53","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1567","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:02:58","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1566","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 04:00:47","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1565","Normal","System","The host was restarted by command.","2026-04-08 04:00:05","Asserted","0x2C000011",""
"1564","Normal","System","ACPI is in the working state.","2026-04-08 04:00:02","Asserted","0x2C000009",""
"1563","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:59:53","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1562","Normal","System","ACPI is in the soft-off state.","2026-04-08 03:59:45","Asserted","0x2C00000B",""
"1561","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:58:29","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1560","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:57:36","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1559","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:55:25","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1558","Normal","System","The host was restarted by command.","2026-04-08 03:54:42","Asserted","0x2C000011",""
"1557","Normal","System","ACPI is in the working state.","2026-04-08 03:54:41","Asserted","0x2C000009",""
"1556","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:54:33","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1555","Normal","System","ACPI is in the soft-off state.","2026-04-08 03:54:25","Asserted","0x2C00000B",""
"1554","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:53:06","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1553","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:52:13","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1552","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:50:01","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1551","Normal","System","The host was restarted by command.","2026-04-08 03:49:20","Asserted","0x2C000011",""
"1550","Normal","System","ACPI is in the working state.","2026-04-08 03:49:18","Asserted","0x2C000009",""
"1549","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:49:07","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1548","Normal","System","ACPI is in the soft-off state.","2026-04-08 03:49:01","Asserted","0x2C00000B",""
"1547","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:47:43","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1546","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:46:53","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1545","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:44:38","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1544","Normal","System","The host was restarted by command.","2026-04-08 03:43:56","Asserted","0x2C000011",""
"1543","Normal","System","ACPI is in the working state.","2026-04-08 03:43:55","Asserted","0x2C000009",""
"1542","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:43:44","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1541","Normal","System","ACPI is in the soft-off state.","2026-04-08 03:43:37","Asserted","0x2C00000B",""
"1540","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:42:20","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1539","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:41:29","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1538","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:39:14","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1537","Normal","System","The host was restarted by command.","2026-04-08 03:38:33","Asserted","0x2C000011",""
"1536","Normal","System","ACPI is in the working state.","2026-04-08 03:38:31","Asserted","0x2C000009",""
"1535","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:38:24","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1534","Normal","System","ACPI is in the soft-off state.","2026-04-08 03:38:15","Asserted","0x2C00000B",""
"1533","Normal","BMC","openUBMC operation log has reached 90% space capacity.","2026-04-08 03:37:12","Deasserted","0x1A00001C","1. Export the operation logs.2. Enable remote syslog dump."
"1532","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:36:57","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1531","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-08 03:36:06","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
